player_id,player_name,player_team,player_position,game_id,game_date,home_team,away_team,stat_type,target,split
1,LeBron James,LAL,,32,2025-09-10 02:00:00+00:00,LAL,OPP30,points,34.9996382644921,train
1,LeBron James,LAL,,31,2025-09-12 02:00:00+00:00,LAL,OPP29,points,22.128978752124436,train
1,LeBron James,LAL,,30,2025-09-14 02:00:00+00:00,LAL,OPP28,points,30.1413965874909,train
1,LeBron James,LAL,,29,2025-09-16 02:00:00+00:00,LAL,OPP27,points,20.734295786756512,train
1,LeBron James,LAL,,28,2025-09-18 02:00:00+00:00,LAL,OPP26,points,22.583966634413184,train
1,LeBron James,LAL,,27,2025-09-20 02:00:00+00:00,LAL,OPP25,points,34.35007856064953,train
1,LeBron James,LAL,,26,2025-09-22 02:00:00+00:00,LAL,OPP24,points,27.653806605185004,train
1,LeBron James,LAL,,25,2025-09-24 02:00:00+00:00,LAL,OPP23,points,22.629073817885025,train
1,LeBron James,LAL,,24,2025-09-26 02:00:00+00:00,LAL,OPP22,points,37.15538833148537,train
1,LeBron James,LAL,,23,2025-09-28 02:00:00+00:00,LAL,OPP21,points,28.790809298587583,train
1,LeBron James,LAL,,22,2025-09-30 02:00:00+00:00,LAL,OPP20,points,25.132798396815936,train
1,LeBron James,LAL,,21,2025-10-02 02:00:00+00:00,LAL,OPP19,points,27.17547871573837,train
1,LeBron James,LAL,,20,2025-10-04 02:00:00+00:00,LAL,OPP18,points,21.85861541648592,train
1,LeBron James,LAL,,19,2025-10-06 02:00:00+00:00,LAL,OPP17,points,24.674680962782183,train
1,LeBron James,LAL,,18,2025-10-08 02:00:00+00:00,LAL,OPP16,points,25.36136580910362,train
1,LeBron James,LAL,,17,2025-10-10 02:00:00+00:00,LAL,OPP15,points,26.462763856918997,train
1,LeBron James,LAL,,16,2025-10-12 02:00:00+00:00,LAL,OPP14,points,29.48189964436362,train
1,LeBron James,LAL,,15,2025-10-14 02:00:00+00:00,LAL,OPP13,points,29.26859535893355,train
1,LeBron James,LAL,,14,2025-10-16 02:00:00+00:00,LAL,OPP12,points,31.56158975484831,train
1,LeBron James,LAL,,13,2025-10-18 02:00:00+00:00,LAL,OPP11,points,20.49555941547098,train
1,LeBron James,LAL,,12,2025-10-20 02:00:00+00:00,LAL,OPP10,points,30.913007191015616,train
1,LeBron James,LAL,,11,2025-10-22 02:00:00+00:00,LAL,OPP9,points,25.486736637361084,val
1,LeBron James,LAL,,10,2025-10-24 02:00:00+00:00,LAL,OPP8,points,32.4743298532819,val
1,LeBron James,LAL,,9,2025-10-26 02:00:00+00:00,LAL,OPP7,points,31.01554411883731,val
1,LeBron James,LAL,,8,2025-10-28 02:00:00+00:00,LAL,OPP6,points,22.731958663926644,val
1,LeBron James,LAL,,7,2025-10-30 02:00:00+00:00,LAL,OPP5,points,30.740838316973544,test
1,LeBron James,LAL,,6,2025-11-01 02:00:00+00:00,LAL,OPP4,points,30.597487875722628,test
1,LeBron James,LAL,,5,2025-11-03 02:00:00+00:00,LAL,OPP3,points,23.281142587631148,test
1,LeBron James,LAL,,4,2025-11-05 02:00:00+00:00,LAL,OPP2,points,18.48324377292002,test
1,LeBron James,LAL,,3,2025-11-07 02:00:00+00:00,LAL,OPP1,points,26.228046986316464,test
2,Stephen Curry,GSW,,63,2025-09-10 03:30:00+00:00,GSW,OPP30,points,28.711854281007604,train
2,Stephen Curry,GSW,,62,2025-09-12 03:30:00+00:00,GSW,OPP29,points,35.30714809998464,train
2,Stephen Curry,GSW,,61,2025-09-14 03:30:00+00:00,GSW,OPP28,points,32.724023746360324,train
2,Stephen Curry,GSW,,60,2025-09-16 03:30:00+00:00,GSW,OPP27,points,20.1108126725862,train
