roster_name,resolved_player_id
Kevin Durant,201142
Jae'Sean Tate,1630256
Jabari Smith Jr.,1631095
Steven Adams,203500
Reed Sheppard,1642263
Tari Eason,1631106
Josh Okogie,1629006
Isaiah Crawford,1642384
Alperen Sengun,1630578
Clint Capela,203991
Jeff Green,201145
Bradley Beal,203078
James Harden,201935
Kawhi Leonard,202695
Chris Paul,101108
Kobe Sanders,1642920
Derrick Jones Jr.,1627884
Kris Dunn,1627739
Bogdan Bogdanović,203992
Brook Lopez,201572
Cam Christie,1642353
Yanic Konan Niederhäuser,1642949
Jahmyl Telfort,1643141
John Collins,1628381
Jordan Miller,1641757
Kobe Brown,1641738
Nicolas Batum,201587
Ivica Zubac,1627826
Adou Thiero,1642876
Jarred Vanderbilt,1629020
Dalton Knecht,1642261
Deandre Ayton,1629028
Gabe Vincent,1629216
Bronny James,1642355
Christian Koloko,1631132
Jaxson Hayes,1629637
Jake LaRavia,1631222
Maxi Kleber,1628467
Austin Reaves,1630559
Nick Smith Jr.,1641733
LeBron James,2544
Rui Hachimura,1629060
Chris Mañon,1643024
Marcus Smart,203935
Luka Dončić,1629029
Simone Fontecchio,1631323
Terry Rozier,1626179
Nikola Jović,1631107
Kel'el Ware,1642276
Pelle Larsson,1641796
Jaime Jaquez Jr.,1631170
Dru Smith,1630696
Bam Adebayo,1628389
Tyler Herro,1629639
Myron Gardner,1642066
Keshad Johnson,1642352
Jahmir Young,1642443
Andrew Wiggins,203952
Norman Powell,1626181
Kasparas Jakučionis,1642857
Davion Mitchell,1630558
Vladislav Goldin,1642884
Jericho Sims,1630579
Myles Turner,1626167
Gary Trent Jr.,1629018
Kevin Porter Jr.,1629645
Bobby Portis,1626171
Gary Harris,203914
Taurean Prince,1627752
Ryan Rollins,1631157
Amir Coffey,1629599
Kyle Kuzma,1628398
Mark Sears,1641813
AJ Green,1631260
Alex Antetokounmpo,
Giannis Antetokounmpo,203507
Pete Nance,1631250
Thanasis Antetokounmpo,203648
Andre Jackson Jr.,1641748
Cole Anthony,1630175
Donte DiVincenzo,1628978
Terrence Shannon Jr.,1630545
Jaden McDaniels,1630183
Rob Dillingham,1642265
Anthony Edwards,1630162
Joe Ingles,204060
Bones Hyland,1630538
Johnny Juzang,1630548
Mike Conley,201144
Naz Reid,1629675
Joan Beringer,1642866
Jaylen Clark,1641740
Enrique Freeman,1642402
Rudy Gobert,203497
Julius Randle,203944
Leonard Miller,1631159
Rocco Zikarsky,1642911
Ziaire Williams,1630533
Danny Wolf,1642874
Drake Powell,1642962
Haywood Highsmith,1629312
Egor Dëmin,1642856
E.J. Liddell,1630604
Tyson Etienne,1630623
Tyrese Martin,1631213
Terance Mann,1629611
Michael Porter Jr.,1629008
Day'Ron Sharpe,1630549
Noah Clowney,1641730
Jalen Wilson,1630592
Cam Thomas,1630560
Nic Claxton,1629651
Ben Saraf,1642879
Nolan Traore,1642849
Jordan Clarkson,203903
Miles McBride,1630540
Josh Hart,1628404
Pacôme Dadiet,1642359
OG Anunoby,1628384
Kevin McCullar Jr.,1641755
Jalen Brunson,1628973
Tyler Kolek,1642278
Tosan Evbuomwan,1641787
Mitchell Robinson,1629011
Mikal Bridges,1628969
Guerschon Yabusele,1627824
Karl-Anthony Towns,1626157
Landry Shamet,1629013
Trey Jemison III,1641998
Mohamed Diawara,1642885
Ariel Hukporti,1630574
Tyrese Maxey,1630178
Andre Drummond,203083
Quentin Grimes,1629656
Kyle Lowry,200768
Paul George,202331
Kelly Oubre Jr.,1626162
Justin Edwards,1642348
Trendon Watford,1630570
Jared McCain,1642272
Joel Embiid,203954
Johni Broome,1641780
Eric Gordon,201569
Dominick Barlow,1631230
Adem Bona,1641737
Jabari Walker,1631133
Hunter Sallis,1642282
VJ Edgecombe,1642845
Royce O'Neale,1626220
Ryan Dunn,1642346
Devin Booker,1626164
Nick Richards,1630208
Dillon Brooks,1628415
Jalen Green,1630224
Grayson Allen,1628960
Khaman Maluach,1642863
Oso Ighodaro,1642345
Collin Gillespie,1631221
Koby Brea,1642886
Mark Williams,1631109
Jamaree Bouyea,1631123
Isaiah Livers,1630587
Rasheer Fleming,1642853
Nigel Hayes-Davis,1628502
Jordan Goodwin,1630692
Damian Lillard,203081
Scoot Henderson,1630703
Blake Wesley,1631104
Caleb Love,1631126
Matisse Thybulle,1629680
Jrue Holiday,201950
Deni Avdija,1630166
Jerami Grant,203924
Yang Hansen,1642905
Shaedon Sharpe,1631101
Javonte Cooke,
Rayan Rupert,1641712
Donovan Clingan,1642270
Kris Murray,1631200
Duop Reath,1641871
Toumani Camara,1641739
Robert Williams III,1629057
Sidy Cissoko,1631321
Malik Monk,1628370
Nique Clifford,1642363
Doug McDermott,203926
Zach LaVine,203897
Precious Achiuwa,1630173
DeMar DeRozan,201942
Domantas Sabonis,1627734
Keegan Murray,1631099
Dennis Schröder,203471
Russell Westbrook,201566
Drew Eubanks,1629234
Dario Šarić,203967
Devin Carter,1642269
Keon Ellis,1631165
Isaiah Stevens,1641815
Daeqwon Plowden,1631342
Dylan Cardwell,1642928
Maxime Raynaud,1642875
Jordan McLaughlin,1629162
Victor Wembanyama,1641705
Dylan Harper,1642844
Keldon Johnson,1629640
De'Aaron Fox,1628368
Stephon Castle,1642264
Luke Kornet,1628436
Kelly Olynyk,203482
Jeremy Sochan,1631110
Carter Bryant,1642868
Bismack Biyombo,202687
Devin Vassell,1630170
David Jones Garcia,1642357
Riley Minix,1642434
Julian Champagnie,1630577
Harrison Barnes,203084
Lindy Waters III,1630322
Harrison Ingram,1631127
Shai Gilgeous-Alexander,1628983
Chris Youngblood,1642959
Luguentz Dort,1629652
Jaylin Williams,1631119
Chet Holmgren,1631096
Jalen Williams,1631114
Alex Caruso,1627936
Isaiah Joe,1630198
Thomas Sorber,1642850
Ousmane Dieng,1631172
Branden Carlson,1642382
Aaron Wiggins,1630598
Cason Wallace,1641717
Brooks Barnhizer,1642964
Ajay Mitchell,1642349
Kenrich Williams,1629026
Nikola Topić,1642260
Isaiah Hartenstein,1628392
A.J. Lawson,1630639
Gradey Dick,1641711
Jonathan Mogbo,1642367
Brandon Ingram,1627742
Scottie Barnes,1630567
Immanuel Quickley,1630193
RJ Barrett,1629628
Collin Murray-Boyles,1642867
Ja'Kobe Walter,1642266
Garrett Temple,202066
Jakob Poeltl,1627751
Jamal Shead,1642347
Chucky Hepburn,1642935
Ochai Agbaji,1630534
Sandro Mamukelashvili,1630572
Alijah Martin,1642918
Jamison Battle,1642419
Taylor Hendricks,1641707
Kyle Anderson,203937
Keyonte George,1641718
Cody Williams,1642262
Isaiah Collier,1642268
Svi Mykhailiuk,1629004
Walter Clayton Jr.,1642383
Elijah Harkless,1641989
John Tonje,1642910
Ace Bailey,1642846
Kyle Filipowski,1642271
Lauri Markkanen,1628374
Walker Kessler,1631117
Brice Sensabaugh,1641729
Jusuf Nurkić,203994
Georges Niang,1627777
Oscar Tshiebwe,1631131
Kevin Love,201567
Jahmai Mashack,
Jaylen Wells,1642377
Scotty Pippen Jr.,1630590
Ty Jerome,1629660
Kentavious Caldwell-Pope,203484
Vince Williams Jr.,1631246
Santi Aldama,1630583
Jaren Jackson Jr.,1628991
Javon Small,1642914
Ja Morant,1629630
Zach Edey,1641744
Brandon Clarke,1629634
Olivier-Maxence Prosper,1641765
Cedric Coward,1642907
Cam Spencer,1642285
Jock Landale,1629111
GG Jackson,1641713
John Konchar,1629723
Bilal Coulibaly,1641731
Tristan Vukcevic,1641774
Cam Whitmore,1641715
CJ McCollum,203468
AJ Johnson,1642358
Jamir Watkins,1642364
Bub Carrington,1642267
Malaki Branham,1631103
Justin Champagnie,1630551
Tre Johnson,1642848
Sharife Cooper,1630536
Anthony Gill,1630264
Kyshawn George,1642273
Alex Sarr,1642259
Khris Middleton,203114
Corey Kispert,1630557
Will Riley,1642860
Marvin Bagley III,1628963
Jalen Duren,1631105
Cade Cunningham,1630595
Isaac Jones,1642403
Ronald Holland II,1641842
Paul Reed,1630194
Caris LeVert,1627747
Wendell Moore Jr.,1631111
Ausar Thompson,1641709
Tobias Harris,202699
Chaz Lanier,1642404
Jaden Ivey,1631093
Daniss Jenkins,1642450
Marcus Sasser,1631204
Isaiah Stewart,1630191
Javonte Green,1629750
Bobi Klintman,1641752
Tolu Smith,1642449
Duncan Robinson,1629130
Miles Bridges,1628970
LaMelo Ball,1630163
Grant Williams,1629684
Sion James,1642883
Kon Knueppel,1642851
Collin Sexton,1629012
Drew Peterson,1641809
Josh Green,1630182
Ryan Kalkbrenner,1641750
Antonio Reeves,1641810
Moussa Diabaté,1631217
Pat Connaughton,1626192
Mason Plumlee,203486
Tre Mann,1630544
Brandon Miller,1641706
KJ Simpson,1642354
Tidjane Salaün,1642275
Liam McNeeley,1642862
