game_date,player,actual_value
2023-10-15,Player 12,19.711637178953456
2023-10-15,Player 16,16.70287733143261
2023-10-15,Player 17,16.784833568610296
2023-10-15,Player 47,28.039987971433497
2023-10-15,Player 49,29.69112684629001
2023-10-15,Player 59,20.58692142467876
2023-10-15,Player 60,20.88355548193921
2023-10-15,Player 9,13.93902914392903
2023-10-16,Player 11,19.336452758846807
2023-10-16,Player 15,30.809326222998266
2023-10-16,Player 21,10.119953358838513
2023-10-16,Player 24,19.912737945475467
2023-10-16,Player 41,17.417474941406912
2023-10-16,Player 43,13.829767043138482
2023-10-16,Player 48,23.07847616650586
2023-10-16,Player 55,22.775941623942252
2023-10-16,Player 8,19.101962536333932
2023-10-17,Player 11,24.53034168403427
2023-10-17,Player 12,15.708208445310063
2023-10-17,Player 15,22.194848548100207
2023-10-17,Player 17,16.96821896128621
2023-10-17,Player 24,21.571345587252974
2023-10-17,Player 25,24.4157901641316
2023-10-17,Player 32,24.58164138874977
2023-10-17,Player 46,25.03594906680395
2023-10-17,Player 48,27.57510104416813
2023-10-17,Player 55,21.89172689905182
2023-10-17,Player 7,25.454803425045302
2023-10-17,Player 8,21.73790178555957
2023-10-18,Player 12,22.107378756325858
2023-10-18,Player 13,25.95293302548728
2023-10-18,Player 24,17.734911809740346
2023-10-18,Player 3,23.379124205803127
2023-10-18,Player 37,17.298411080409352
2023-10-18,Player 50,14.302428040649847
2023-10-19,Player 11,26.88195863001256
2023-10-19,Player 14,27.712743051992526
2023-10-19,Player 25,20.577533023763344
2023-10-19,Player 38,19.758799311039812
2023-10-19,Player 46,19.536147876592405
2023-10-19,Player 53,17.73226604917034
2023-10-19,Player 54,14.785682134778163
2023-10-19,Player 6,15.019261279358645
2023-10-19,Player 60,21.957967877276285
2023-10-19,Player 8,24.00403625479027
2023-10-20,Player 13,24.26512870992142
2023-10-20,Player 26,16.167107799545565
2023-10-20,Player 28,18.218367455135365
2023-10-20,Player 35,18.121143459728014
2023-10-20,Player 53,14.553376184298084
2023-10-20,Player 57,22.538484195149607
2023-10-20,Player 60,23.556361333543236
2023-10-20,Player 7,21.816939180193543
2023-10-20,Player 8,15.490596731654119
2023-10-21,Player 28,20.59022904929518
2023-10-21,Player 4,16.029590025274288
2023-10-21,Player 41,13.46942585158548
2023-10-21,Player 43,29.499724404817147
2023-10-21,Player 50,22.800175597581166
2023-10-21,Player 56,23.488285753070375
2023-10-22,Player 13,21.737850147820307
2023-10-22,Player 15,29.682863430865975
2023-10-22,Player 32,21.764335697098744
2023-10-22,Player 36,18.139999534856504
2023-10-22,Player 38,25.258553611598916
2023-10-22,Player 41,23.511050280222832
2023-10-22,Player 42,21.540879611402712
2023-10-22,Player 44,13.86493726601929
2023-10-22,Player 48,31.786724463968373
2023-10-23,Player 13,25.79920864168213
2023-10-23,Player 29,19.11029429822371
2023-10-23,Player 3,35.002279720704834
2023-10-23,Player 30,26.048062090574653
2023-10-23,Player 40,18.075909107128595
2023-10-23,Player 47,15.857916943090045
2023-10-23,Player 5,22.81898047822656
2023-10-23,Player 57,19.805769153621355
2023-10-23,Player 59,22.029428631560638
2023-10-24,Player 12,27.896964022903482
2023-10-24,Player 19,11.883557961818301
2023-10-24,Player 38,19.752915984059097
2023-10-24,Player 43,14.35236459957256
2023-10-24,Player 55,16.462524430103084
2023-10-25,Player 12,20.3959416502658
2023-10-25,Player 14,20.039411114151356
2023-10-25,Player 19,19.68560707729753
2023-10-25,Player 24,20.67200370640271
2023-10-25,Player 27,22.73642952523636
2023-10-25,Player 31,25.499244391884087
2023-10-25,Player 32,9.497531959832159
2023-10-25,Player 33,18.448418584152982
2023-10-25,Player 36,20.306128298977278
2023-10-25,Player 37,18.949377883243216
2023-10-25,Player 4,28.02043348085969
2023-10-25,Player 44,34.766230950259526
2023-10-25,Player 49,32.028390102687965
2023-10-25,Player 50,23.307160783710565
2023-10-26,Player 18,23.64396123125723
2023-10-26,Player 19,17.05418858784106
2023-10-26,Player 20,21.379236519805318
2023-10-26,Player 37,21.550483149456127
2023-10-26,Player 38,17.72171910003536
